"name","period","end_time","value"
"page_posts_impressions","day","2024-01-07T08:00:00+0000",2764
"page_posts_impressions","day","2024-01-14T08:00:00+0000",2741
"page_posts_impressions","day","2024-01-21T08:00:00+0000",2415
"page_posts_impressions","day","2024-01-28T08:00:00+0000",2587
"page_posts_impressions","day","2024-02-04T08:00:00+0000",2704
"page_posts_impressions","day","2024-02-11T08:00:00+0000",3088
"page_posts_impressions","day","2024-02-18T08:00:00+0000",3233
"page_posts_impressions","day","2024-02-25T08:00:00+0000",2398
"page_posts_impressions","day","2024-03-03T08:00:00+0000",2645
"page_posts_impressions","day","2024-03-10T08:00:00+0000",2573
"page_posts_impressions","day","2024-03-17T07:00:00+0000",2525
"page_posts_impressions","day","2024-03-24T07:00:00+0000",3806
"page_posts_impressions","day","2024-03-31T07:00:00+0000",3916
"page_posts_impressions","day","2024-04-07T07:00:00+0000",3481
"page_posts_impressions","day","2024-04-14T07:00:00+0000",3226
"page_posts_impressions","day","2024-04-21T07:00:00+0000",3588
"page_posts_impressions","day","2024-04-28T07:00:00+0000",3393
"page_posts_impressions","day","2024-05-05T07:00:00+0000",3931
"page_posts_impressions","day","2024-05-12T07:00:00+0000",3459
"page_posts_impressions","day","2024-05-19T07:00:00+0000",3714
"page_posts_impressions","day","2024-05-26T07:00:00+0000",3258
"page_posts_impressions","day","2024-06-02T07:00:00+0000",343
"page_posts_impressions","day","2024-06-09T07:00:00+0000",4728
"page_posts_impressions","day","2024-06-16T07:00:00+0000",2587
"page_posts_impressions","day","2024-06-23T07:00:00+0000",2763
"page_posts_impressions","day","2024-06-30T07:00:00+0000",2539
"page_posts_impressions","day","2024-07-07T07:00:00+0000",3297
"page_posts_impressions","day","2024-07-14T07:00:00+0000",3468
"page_posts_impressions","day","2024-07-21T07:00:00+0000",2822
"page_posts_impressions","day","2024-07-28T07:00:00+0000",3396
"page_posts_impressions","day","2024-08-04T07:00:00+0000",3300
"page_posts_impressions","day","2024-08-11T07:00:00+0000",3259
"page_posts_impressions","day","2024-08-18T07:00:00+0000",3079
"page_posts_impressions","day","2024-08-25T07:00:00+0000",3092
"page_posts_impressions","day","2024-09-01T07:00:00+0000",2882
"page_posts_impressions","day","2024-09-08T07:00:00+0000",3122
"page_posts_impressions","day","2024-09-15T07:00:00+0000",2402
"page_posts_impressions","day","2024-09-22T07:00:00+0000",2331
"page_posts_impressions","day","2024-09-29T07:00:00+0000",2164
"page_posts_impressions","day","2024-10-13T07:00:00+0000",15
"page_posts_impressions","day","2024-10-20T07:00:00+0000",2
"page_posts_impressions","day","2024-10-27T07:00:00+0000",4
"page_posts_impressions","day","2024-11-03T07:00:00+0000",2
"page_posts_impressions","day","2024-11-10T08:00:00+0000",0
"page_posts_impressions","day","2024-11-17T08:00:00+0000",1
"page_posts_impressions","day","2024-11-24T08:00:00+0000",1
"page_posts_impressions","day","2024-12-01T08:00:00+0000",5
"page_posts_impressions","day","2024-12-08T08:00:00+0000",2
"page_posts_impressions","day","2024-12-15T08:00:00+0000",6
"page_posts_impressions","day","2024-12-22T08:00:00+0000",1
"page_posts_impressions","day","2024-12-29T08:00:00+0000",1
